branch_id,ingredient_id,quantity
BRANCH_01,ING01,11.5
BRANCH_01,ING02,49.7
BRANCH_01,ING03,8.1
BRANCH_01,ING04,12.6
BRANCH_01,ING05,6.2
BRANCH_01,ING06,3.1
BRANCH_01,ING07,12.3
BRANCH_01,ING08,26.9
BRANCH_01,ING09,5.8
BRANCH_01,ING10,8.2
BRANCH_01,ING11,4.9
BRANCH_01,ING12,21.4
BRANCH_01,ING13,5.1
BRANCH_01,ING14,5.0
BRANCH_01,ING15,6.9
BRANCH_01,ING16,20.1
BRANCH_01,ING17,5.2
BRANCH_01,ING18,6.4
BRANCH_01,ING19,16.1
BRANCH_01,ING20,8.6
BRANCH_01,ING21,11.7
BRANCH_01,ING22,100.9
BRANCH_01,ING23,8.9
BRANCH_01,ING24,10.2
BRANCH_01,ING25,7.9
BRANCH_01,ING26,52.1
BRANCH_01,ING27,15.0
BRANCH_01,ING28,13.5
BRANCH_01,ING29,19.2
BRANCH_01,ING30,2.7
BRANCH_01,ING31,19.2
BRANCH_01,ING32,14.2
BRANCH_01,ING33,9.9
BRANCH_01,ING34,18.9
BRANCH_01,ING35,19.7
BRANCH_02,ING01,7.2
BRANCH_02,ING02,25.9
BRANCH_02,ING03,7.1
BRANCH_02,ING04,20.1
BRANCH_02,ING05,8.1
BRANCH_02,ING06,3.4
BRANCH_02,ING07,10.9
BRANCH_02,ING08,26.9
BRANCH_02,ING09,3.6
BRANCH_02,ING10,8.7
BRANCH_02,ING11,9.7
BRANCH_02,ING12,23.1
BRANCH_02,ING13,7.4
BRANCH_02,ING14,2.6
BRANCH_02,ING15,6.3
BRANCH_02,ING16,29.0
BRANCH_02,ING17,3.7
BRANCH_02,ING18,6.2
BRANCH_02,ING19,14.6
BRANCH_02,ING20,7.8
BRANCH_02,ING21,10.8
BRANCH_02,ING22,74.1
BRANCH_02,ING23,9.3
BRANCH_02,ING24,9.1
BRANCH_02,ING25,6.8
BRANCH_02,ING26,45.2
BRANCH_02,ING27,22.5
BRANCH_02,ING28,19.3
BRANCH_02,ING29,12.8
BRANCH_02,ING30,4.4
BRANCH_02,ING31,14.1
BRANCH_02,ING32,14.5
BRANCH_02,ING33,8.5
BRANCH_02,ING34,10.2
BRANCH_02,ING35,17.5
BRANCH_03,ING01,6.2
BRANCH_03,ING02,26.5
BRANCH_03,ING03,7.7
BRANCH_03,ING04,14.3
BRANCH_03,ING05,8.6
BRANCH_03,ING06,1.8
BRANCH_03,ING07,16.9
BRANCH_03,ING08,15.9
BRANCH_03,ING09,4.2
BRANCH_03,ING10,6.3
BRANCH_03,ING11,7.2
BRANCH_03,ING12,18.4
BRANCH_03,ING13,4.6
BRANCH_03,ING14,4.1
BRANCH_03,ING15,5.3
BRANCH_03,ING16,32.7
BRANCH_03,ING17,4.5
BRANCH_03,ING18,3.9
BRANCH_03,ING19,14.3
BRANCH_03,ING20,13.0
BRANCH_03,ING21,11.6
BRANCH_03,ING22,88.2
BRANCH_03,ING23,6.6
BRANCH_03,ING24,8.5
BRANCH_03,ING25,5.4
BRANCH_03,ING26,39.4
BRANCH_03,ING27,23.3
BRANCH_03,ING28,12.9
BRANCH_03,ING29,24.1
BRANCH_03,ING30,2.6
BRANCH_03,ING31,18.7
BRANCH_03,ING32,13.6
BRANCH_03,ING33,5.3
BRANCH_03,ING34,13.9
BRANCH_03,ING35,19.1
