dish_id,ingredient_id,quantity
D01,ING13,0.12
D01,ING24,0.16
D01,ING33,0.02
D01,ING12,0.01
D02,ING15,0.15
D02,ING24,0.16
D02,ING33,0.02
D03,ING17,0.16
D03,ING25,0.18
D03,ING31,0.08
D03,ING12,0.02
D04,ING14,0.1
D04,ING20,0.12
D04,ING26,0.18
D04,ING10,0.03
D05,ING17,0.1
D05,ING21,0.08
D05,ING25,0.18
D05,ING31,0.08
D06,ING15,0.22
D06,ING28,0.14
D07,ING13,0.1
D07,ING32,0.08
D07,ING28,0.14
D07,ING22,1.0
D08,ING18,0.18
D08,ING19,0.05
D08,ING29,0.15
D09,ING27,1.0
D09,ING17,0.08
D09,ING31,0.03
D10,ING27,1.0
D10,ING22,1.0
D10,ING23,0.06
D10,ING19,0.04
D11,ING30,0.18
D12,ING21,0.15
D12,ING31,0.05
D13,ING16,0.18
D14,ING16,0.14
D14,ING31,0.12
D14,ING35,0.03
D15,ING01,0.025
D15,ING02,0.08
D15,ING12,0.01
D16,ING01,0.015
D16,ING02,0.12
D16,ING03,0.06
D17,ING01,0.022
D17,ING02,0.06
D17,ING04,0.08
D18,ING01,0.025
D19,ING05,0.012
D19,ING08,0.2
D19,ING09,0.08
D19,ING10,0.03
D19,ING12,0.03
D20,ING05,0.015
D20,ING03,0.08
D20,ING02,0.06
D20,ING07,0.05
D20,ING12,0.02
D21,ING06,0.012
D21,ING03,0.12
D21,ING12,0.02
D22,ING11,0.45
D22,ING12,0.02
