date,branch_id,branch_name,dish_id,dish_name,category,quantity,revenue,event_flag,weather_condition,temperature,precipitation_mm
2024-09-18,BRANCH_01,FoodFlow Quận 1,D01,Phở Bò Tái Nạm,Món Nước,117,7020000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D02,Phở Gà Ta Lá Chanh,Món Nước,94,5170000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D03,Bún Chả Hà Nội,Món Khô,135,8775000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D04,Bún Bò Huế Cốt Đậm,Món Nước,119,7735000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D05,Bún Thịt Nướng Chả Giò,Món Khô,99,5445000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D06,Cơm Gà Xối Mỡ Giòn Da,Món Khô,258,14190000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D07,Cơm Rang Dưa Bò Hà Nội,Món Khô,126,7560000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D08,Cơm Tấm Sườn Bì Chả,Món Khô,185,12025000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D09,Bánh Mì Thịt Nướng Giòn,Món Khô,264,9240000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D10,Bánh Mì Chảo Thập Cẩm,Món Khô,61,3050000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D11,Nem Rán Hà Nội (10 cái),Đồ Ăn Nhẹ,41,2460000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D12,Gỏi Cuốn Tôm Thịt (4 cuốn),Đồ Ăn Nhẹ,80,3200000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D13,Khoai Tây Chiên Lắc Phô Mai,Đồ Ăn Nhẹ,40,1400000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D14,Gà Rán Giòn Cay (2 miếng),Đồ Ăn Nhẹ,75,3750000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D15,Cà Phê Sữa Đá Sài Gòn,Cà Phê,347,9716000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D16,Bạc Xỉu Đá,Cà Phê,156,4680000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D17,Cà Phê Muối Xứ Huế,Cà Phê,113,3955000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D18,Americano Đá,Cà Phê,133,3990000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D19,Trà Đào Cam Sả Tươi,Trà & Trái Cây,155,5890000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D20,Trà Sữa Trân Châu Ô Long,Trà & Trái Cây,128,5376000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D21,Matcha Latte Sữa Tươi,Trà & Trái Cây,42,1890000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_01,FoodFlow Quận 1,D22,Nước Ép Dưa Hấu Tươi,Trà & Trái Cây,60,2100000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D01,Phở Bò Tái Nạm,Món Nước,83,4980000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D02,Phở Gà Ta Lá Chanh,Món Nước,44,2420000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D03,Bún Chả Hà Nội,Món Khô,80,5200000,,mua_rao,31.4,7.4
2024-09-18,BRANCH_02,FoodFlow Cầu Giấy,D04,Bún Bò Huế Cốt Đậm,Món Nước,62,4030000,,mua_rao,31.4,7.4
